blocks,threads,blocks_times_threads,total_time,inst_per_warp,global_hit_rate,local_hit_rate,tex_cache_hit_rate,l2_tex_read_hit_rate,l2_tex_write_hit_rate,gld_efficiency,gst_efficiency,stall_inst_fetch,stall_exec_dependency,stall_memory_dependency,ipc,sm_efficiency,fb_subp0_read_sectors,fb_subp1_read_sectors,fb_subp0_write_sectors,fb_subp1_write_sectors,l2_subp0_write_sector_misses,l2_subp1_write_sector_misses,l2_subp0_read_sector_misses,l2_subp1_read_sector_misses,l2_subp0_read_tex_sector_queries,l2_subp1_read_tex_sector_queries,l2_subp0_write_tex_sector_queries,l2_subp1_write_tex_sector_queries,l2_subp0_read_tex_hit_sectors,l2_subp1_read_tex_hit_sectors,l2_subp0_write_tex_hit_sectors,l2_subp1_write_tex_hit_sectors,l2_subp0_total_read_sector_queries,l2_subp1_total_read_sector_queries,l2_subp0_total_write_sector_queries,l2_subp1_total_write_sector_queries,elapsed_cycles_sm,generic_load,generic_store,global_load,global_store,local_load,local_store
80,64,5120,0.10844390000000001,36384.67,2.553,97.079,28.145,103.60499999999999,96.683,12.430000000000001,3.79,12.179999999999998,38.995,15.391000000000002,0.3240093,91.07000000000001,21.9,53.2,84852.4,94852.8,85359.9,84729.4,23.8,24.5,40216.4,43671.6,2056018.4,2049729.8,38457.0,41747.7,2066747.6,2056991.4,40520.2,43962.1,2062824.8,2048957.9,21923489.0,124758.4,815728.0,2559.2,33.0,309126.4,211163.2
32,2,64,6.675255,4277639.0,0.16,98.811,28.755000000000003,99.67299999999999,100.10499999999999,12.358,3.79,16.569,65.266,17.919999999999998,0.24628910000000004,39.94799999999999,904.2,870.2,7383.8,7862.2,7312.1,7330.4,956.5,941.6,132143.2,175081.6,8143195.0,8094861.2,131312.4,175368.1,8137236.1,8122484.6,136838.5,177291.2,8165026.3,8106355.9,1145367277.8,1990206.4,13012888.0,38305.2,33.0,4902777.6,3219090.8
1,256,256,4.412879599999999,597209.3,5.558999999999999,96.00899999999999,28.713,100.28,100.247,12.463999999999999,3.79,5.4030000000000005,33.863,21.972,1.1659919,1.246,5.6,77.2,6.0,101.3,10.4,0.8,6.4,6.4,60112.2,52926.5,1908673.6,2000946.6,59756.0,52808.7,1908299.2,2000537.0,60346.2,53201.9,1907243.6,1999512.8,455979128.6,119813.2,783394.0,2312.1,33.0,296672.0,195086.0
80,128,10240,0.1346866,12546.455555555554,2.195555555555556,97.03222222222222,28.559999999999995,99.43,96.82777777777778,12.063333333333333,3.79,9.404444444444444,25.17777777777778,13.216666666666667,0.4438905555555556,85.11,238.4,219.7,390157.5,406613.4,398671.5,396683.8,249.3,300.8,44618.6,48189.0,2026511.2,2013640.2,41068.0,44523.1,2019659.6,2005947.3,43480.2,47081.5,2036325.6,2023951.9,16287117.6,121685.2,795634.0,2660.1,33.0,301651.2,214577.6
64,128,8192,0.1650529,32805.83,1.7650000000000001,97.514,28.609,116.59400000000001,102.01100000000002,12.254999999999999,3.79,7.406999999999999,30.231,13.265,0.5182910000000001,69.82700000000001,42.8,50.3,188660.6,191934.0,192581.8,189562.6,42.3,58.8,33922.2,36450.7,1549312.8,1538281.8,34759.8,37343.3,1543540.0,1532582.9,34635.0,37274.8,1542443.5,1531508.7,13811211.4,93194.4,609348.0,2048.2,33.0,227782.4,162773.2
32,16,512,1.365361,312894.0,1.952,98.41699999999999,28.699,100.124,99.88000000000001,12.471,3.79,17.283,64.24300000000001,18.137,0.2431299,39.224999999999994,21.4,19.2,8787.0,3804.0,8812.9,8769.6,25.9,22.2,26057.2,30663.5,1576722.4,1564917.0,26448.6,30462.2,1570471.6,1560862.6,29391.6,33254.8,1574194.3,1567562.9,111891982.6,191952.8,1255076.0,3723.4,33.0,473004.8,312052.4
2,2,4,150.804,87379634.0,1.567,98.82600000000002,28.683999999999997,99.973,99.983,12.556000000000001,3.79,18.14,63.842000000000006,17.788999999999998,0.24242950000000002,2.499,200.0,443.2,349.3,391.5,321.8,333.5,224.2,219.8,196369.6,282322.4,13092538.4,12272041.8,193157.4,285178.8,12891838.8,12465686.8,210053.1,288607.0,13042182.3,12307095.9,29012430824.2,3109080.0,20328600.0,59792.0,33.0,7658297.6,5025840.8
32,256,8192,0.1960503,26319.32,1.8849999999999998,93.797,25.104000000000003,102.869,96.75500000000001,12.737,3.79,6.12,27.887,19.581,0.9463289999999999,36.398,227.2,116.2,324499.1,310519.1,320665.8,320391.1,233.7,159.4,89942.2,90622.3,2535515.2,2540300.2,89435.2,90120.8,2497623.2,2502898.9,91849.0,92667.1,2616511.2,2621211.3,22850181.2,156504.4,1023298.0,3265.7,33.0,382713.6,264446.8
1,8,8,69.45325,15311750.0,1.1509999999999998,98.83700000000002,28.71,99.995,99.999,12.5,3.79,15.52,66.041,18.206,0.24880039999999998,1.25,80.2,9.2,169.8,56.4,158.1,158.5,91.4,90.0,21234.5,34876.3,1526834.4,1445702.6,25300.6,30814.4,1433325.9,1539150.5,28773.2,35252.2,1506261.5,1466300.5,6631398457.2,364546.0,2383570.0,7011.5,33.0,897376.0,588934.0
1,4,4,103.78253,26718170.0,0.9650000000000002,98.83600000000001,28.71,99.894,99.997,12.5,3.79,15.553,66.185,18.031,0.24884340000000008,1.25,154.0,164.6,181.6,182.9,176.6,185.6,166.2,159.0,34030.1,44603.6,2140510.6,2025586.4,35829.8,42779.8,2052057.6,2113978.8,36277.1,52554.7,2105347.4,2060789.4,9307560362.4,510926.0,3340670.0,9826.5,33.0,1257696.0,825394.0
