blocks,threads,blocks_times_threads,total_time,inst_per_warp,global_hit_rate,local_hit_rate,tex_cache_hit_rate,gld_efficiency,gst_efficiency,stall_inst_fetch,stall_exec_dependency,stall_memory_dependency,ipc,sm_efficiency,l2_subp0_write_sector_misses,l2_subp1_write_sector_misses,l2_subp0_read_sector_misses,l2_subp1_read_sector_misses,l2_subp0_read_tex_sector_queries,l2_subp1_read_tex_sector_queries,l2_subp0_write_tex_sector_queries,l2_subp1_write_tex_sector_queries,l2_subp0_read_tex_hit_sectors,l2_subp1_read_tex_hit_sectors,l2_subp0_write_tex_hit_sectors,l2_subp1_write_tex_hit_sectors,l2_subp0_total_read_sector_queries,l2_subp1_total_read_sector_queries,l2_subp0_total_write_sector_queries,l2_subp1_total_write_sector_queries,elapsed_cycles_sm,generic_load,generic_store,global_load,global_store,local_load,local_store
32,256,8192,13.544059999999998,15103.310000000001,75.0,50.001,49.628,12.404,3.79,6.868,26.075,46.008,1.4099121000000001,99.654,260098.5,238817.7,16895.5,4744.4,647065.2,640018.7,1129577.8,1095209.6,641767.4,637077.8,1121733.0,1992412.0,657282.4,641532.6,1122731.6,1088164.2,4167621.6,125392.8,77164.8,2667.4,33.0,154547.2,246073.4
1,8,8,224.5661,20277842.0,50.0,50.001999999999995,50.0,12.5,3.79,16.186,27.405,48.407000000000004,0.1344681,49.998000000000005,45.9,0.0,295031.2,0.0,380069.0,264612.0,538894.0,548462.0,298288.0,341581.0,625471.0,461885.0,532973.2,346682.0,538905.8,548480.2,197884118.8,250172.0,153952.0,4812.0,33.0,307936.0,471515.0
1,4,4,429.3407000000001,39474200.0,0.0,0.001,0.0,12.5,3.79,16.17,27.474,48.334,0.13516250000000002,50.0,40.7,0.0,805356.2,0.0,1117320.7,777888.5,1584111.6,1612344.2,876837.6,1004127.3,1838670.0,1357785.8,1522436.6,1018610.2,1584119.8,1612366.0,583253345.0,735451.6,452585.6,14144.3,33.0,905203.2,1386080.4
8,8,64,64.80365,3581426.4,50.0,50.003,49.996,12.498999999999999,3.79,11.331999999999997,29.253000000000004,51.447,0.5398322999999999,99.877,47.2,7.8,70628.6,8420.8,551244.8,539046.8,975265.8,861448.8,551137.8,530796.6,974284.5,8808352.6,616844.3,539175.5,976470.8,862533.8,41891436.0,422266.0,259856.0,8128.5,33.0,520761.6,797663.2
80,16,1280,16.336553,73590.2,50.0,50.007,50.084999999999994,12.263,3.79,9.751,25.305,46.55999999999999,1.7737816,97.99499999999999,117177.2,107543.9,10933.6,3357.5,292201.8,290077.7,506041.0,490831.6,288721.8,286631.6,502618.0,585270.8,301923.5,292986.4,504250.8,488900.2,3167202.4,113256.0,69696.0,2258.0,33.0,139584.0,216649.0
1,16,16,183.94819999999999,9447330.0,50.0,50.0,50.0,12.5,3.79,16.052,27.218,48.778,0.1341402,50.0,49.1,0.0,267469.7,0.0,685688.4,473045.2,972206.2,989490.4,538141.2,616251.6,1128397.0,833299.6,750861.1,620882.7,972222.8,989503.8,178882530.8,225669.6,138873.6,4340.8,33.0,277779.2,425337.4
8,256,2048,8.81793,84041.76999999999,75.0,50.001,50.032,12.198,3.79,7.357000000000001,24.563000000000002,49.13,1.5161923000000002,99.601,130557.1,119131.9,8898.2,2495.7,326040.8,322263.8,563930.2,546646.8,323827.0,321384.2,566235.0,634919.2,330149.3,322071.5,561490.0,544416.2,2113424.2,63299.6,38953.6,1281.3,33.0,77868.8,121555.6
16,256,4096,10.12942,57177.1,75.0,50.0,49.85699999999999,12.514,3.79,7.5699999999999985,24.185,51.45700000000001,1.5516013,99.858,182307.6,167300.7,12041.4,3381.9,451681.0,446664.6,787551.8,763434.0,444782.2,441611.0,785748.6,1699896.8,454907.6,443772.3,782580.0,758401.4,2924171.0,88030.8,54172.8,1820.9,33.0,107884.8,169885.6
64,256,16384,9.149719999999999,10257.839765600002,75.0,50.001999999999995,50.507999999999996,12.420999999999998,3.79,6.872,26.064,46.876,1.3933465,99.75899999999999,209812.6,192187.0,13152.7,4236.1,520607.0,514997.0,927100.2,899666.4,515802.8,511904.8,930745.4,25807.2,530245.6,518058.0,932761.2,904521.8,3548211.2,101290.8,62332.8,2459.9,33.0,124320.0,209260.0
8,128,1024,13.21239,156940.4,75.0,50.001,49.772999999999996,12.201,3.79,7.6899999999999995,24.395999999999997,50.84,1.5545553,99.614,231782.1,212460.8,14042.2,4085.9,576960.6,570466.5,991942.2,961308.4,571724.8,567588.8,994618.6,96518.4,583420.5,569490.9,993191.6,962529.8,3682324.6,111971.6,68905.6,2185.3,33.0,137804.8,212148.6
8,64,512,21.147219000000003,277176.7,75.0,50.001,50.154,12.428,3.79,7.525,29.383999999999997,48.828,0.9136004000000002,99.261,62.4,20.0,9861.6,1895.8,419365.6,413309.0,732384.2,688392.8,419788.4,412106.0,721301.8,14999.6,426622.0,412657.1,726706.8,683071.4,4734571.8,81333.2,50051.2,1580.1,33.0,100012.8,153687.6
64,64,4096,8.20266,52280.94,75.0,50.0,49.787000000000006,12.442,3.79,7.816999999999998,24.215,51.709,1.5590216,99.54799999999999,189124.0,172467.3,12154.6,3529.2,473933.4,468864.4,819531.0,794915.6,468704.8,465204.4,818765.4,181512.8,481005.4,469784.3,821371.6,796088.2,3016169.0,91514.8,56316.8,1887.9,33.0,113222.4,178058.8
4,32,128,36.09349999999999,898878.0,75.0,50.001,50.005,12.504999999999999,3.79,13.527000000000001,27.213000000000005,50.68699999999999,0.26642740000000004,99.78200000000001,47.2,7.8,24452.7,1560.7,341074.4,320068.8,634025.8,490090.4,331187.6,328604.8,560356.2,5081507.6,395764.8,287339.6,623004.4,499153.0,13110934.0,64646.4,39782.4,1247.2,33.0,79417.6,121707.2
